artist,play_count
Arctic Monkeys,2410
Maxïmo Park,1531
The Beatles,1069
Bloc Party,985
Jamie T,814
Kings of Leon,597
Snow Patrol,539
The Libertines,533
The Cure,442
Gorillaz,400
Pink Floyd,372
Radiohead,355
Blur,353
The White Stripes,349
The Strokes,347
Kaiser Chiefs,345
David Bowie,340
The Last Shadow Puppets,315
The Zutons,308
Kasabian,306
Queens of the Stone Age,293
Pulp,288
The Raconteurs,283
The Smiths,273
Kanye West,262
Foo Fighters,260
The Pigeon Detectives,244
Oasis,236
Kate Nash,234
The Enemy,234
Elbow,230
The Streets,226
Paolo Nutini,223
Babyshambles,218
Manic Street Preachers,207
The Wombats,204
Lily Allen,201
Belle and Sebastian,195
The Killers,194
The View,182
R.E.M.,174
Tenacious D,172
Jamiroquai,171
Johnny Cash,164
JAY-Z,160
Ocean Colour Scene,159
View,158
The Fratellis,152
Two Door Cinema Club,148
Bob Marley,147
Slaves,145
Amy Winehouse,144
Florence + the Machine,144
Dire Straits,141
Muse,140
Scouting for Girls,136
Fall Out Boy,133
Weezer,130
The Jam,129
Eminem,127
Razorlight,127
Michael Jackson,126
Paul Simon,126
Hugh Laurie,124
Franz Ferdinand,120
Amanda Palmer,116
Elton John,116
The Verve,116
Nina Simone,115
BBC Radio 4,114
Stereophonics,109
Art Brut,107
Vampire Weekend,104
John Grant,102
Dizzee Rascal,100
Queen,100
Ray Charles,100
The Beautiful South,100
The Twang,99
The Divine Comedy,98
Coldplay,97
"The Good, the Bad & the Queen",96
Dr. Dre,95
Graham Coxon,91
Guy Garvey,89
Madness,89
Lizzo,88
Editors,87
AC/DC,84
Doves,84
The Police,83
Morrissey,81
Stevie Wonder,81
The xx,81
dodie,80
Paul Weller,80
Leslie Odom Jr.,78
Lin-Manuel Miranda,78
Placebo,77
Santana,77
Marvin Gaye,76
The Lightning Seeds,76
Green Day,75
LCD Soundsystem,75
The Clash,75
Flight of the Conchords,74
Guillemots,74
Howard Shore,74
Nirvana,74
Dirty Pretty Things,72
James,71
Sleaford Mods,71
Eagles,70
The Kooks,69
Electric Light Orchestra,67
Billy Bragg,66
Blondie,65
MGMT,65
Talking Heads,65
The Who,65
Ian Dury and the Blockheads,64
Pixies,64
The Cribs,64
cnet.com,63
The Hoosiers,62
The Specials,62
The Ting Tings,62
Arcade Fire,61
The Vaccines,61
Tom Waits,61
Will Smith,61
Simon & Garfunkel,60
The Kinks,60
The Notorious B.I.G.,60
Gossip,58
Nick Cave & The Bad Seeds,58
Bombay Bicycle Club,57
The Black Keys,57
Noel Gallagher,56
Plan B,56
Robbie Williams,56
Delphic,55
Eels,55
The Lancashire Hotpots,54
Ash,53
Jeff Wayne,53
Keane,53
Damon Albarn,52
Don McLean,52
Reverend and the Makers,52
Beastie Boys,51
Just Jack,51
Courtney Barnett,50
guardian.co.uk,50
Kelis,50
Public Service Broadcasting,50
Semisonic,50
Elvis Costello & The Attractions,49
Hard-Fi,49
Otis Redding,48
Future Islands,47
Lou Reed,47
Mark Ronson,47
We Are Scientists,47
Katie Melua,44
Nas,44
Badly Drawn Boy,43
Cake,43
Clean Bandit,43
Gruff Rhys,43
Jungle,43
Kele,43
The Coral,43
Space,42
alt-J,41
Jeff Buckley,41
New Order,41
A Tribe Called Quest,40
Death Cab for Cutie,40
Jack White,40
Kate Rusby,40
Remi Nicole,40
The Courteeners,40
Al Wilson,39
De La Soul,39
Idles,39
OutKast,39
Prince,39
The Automatic,39
The Hives,39
The Stranglers,39
Pet Shop Boys,38
St. Vincent,38
The Futureheads,38
Klaxons,37
Neil Gaiman,37
Ella Fitzgerald,35
Phillipa Soo,35
The Rolling Stones,35
Alanis Morissette,34
